true_label,pred_label,text,word_count
fake,true,democratic activist pledge million get young voter poll,8
fake,true,trump pitch making mexico border wall beautiful add solar panel,10
fake,true,germany tackling hate speech new legislation target u social medium company,11
fake,true,trump peeking door,3
fake,true,justin bieber inadvertently stepped one world greatest geopolitical controversy,9
true,fake,treasury agent attempt arrest al scarface capone tax evasion flees zeppelin st valentine,13
true,fake,russian man recall oppressive day communism one could speak freely protest government,12
true,fake,light playing beautifully eric trump gum inaugural ball,8
true,fake,new nfl policy requires player either stand national anthem stay locker room,12
true,fake,biden say life better year ago nothing touch summer,9
