text,label,label_id
The Department of Education released new guidelines for student loan forgiveness. Share this.,true,0
UPDATE: Presidential candidate reveals bold plan to solve all problems by tweeting about them.,satire/parody,1
Officials confirmed the trade agreement will take effect starting January 1. Developing story.,true,0
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
WHO declares political misinformation a global health emergency in surprise announcement. Developing story.,imposter content,3
FEMA announces new preparedness category for surviving election seasons.,imposter content,3
Area congressman reportedly shocked to learn his constituents actually read his tweets.,satire/parody,1
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
"BREAKING: Voter turnout in the midterm elections reached 50 percent, according to election officials.",true,0
Millions affected by new law (article about obscure regulatory change). Developing story.,false connection,4
The president signed an executive order on climate policy during a ceremony at the White House. ,true,0
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
AP Breaking News: Congress votes to abolish all federal holidays starting next year.,imposter content,3
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
Pentagon confirms development of weather control satellite for agricultural purposes.,imposter content,3
The Supreme Court agreed to hear arguments on the immigration policy case next month. ,true,0
This controversial study proves everything you thought about politics was WRONG.,misleading content,2
Officials confirmed the trade agreement will take effect starting January 1.,true,0
President caught in massive scandal (article about routine policy meeting). Read more.,false connection,4
Nation divided over controversial new policy (poll shows 52-48 split on minor issue). ,false connection,4
Altered quote from the governor shows plans to raise taxes by 500 percent.,manipulated content,5
EXPOSED: The hidden truth about government surveillance that they don't want you to know!,misleading content,2
New bill would require all political ads to include laugh track.,satire/parody,1
Selectively edited interview makes it appear the candidate supports extremist views. Developing story.,manipulated content,5
Breaking: Congress discovers that laws work better when people actually follow them.,satire/parody,1
The Senate passed a new infrastructure bill with bipartisan support on Tuesday. Share this.,true,0
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
BREAKING: whistleblower reveals the shocking truth behind the policy.,misleading content,2
BREAKING: Congressional leaders from both parties agreed on a temporary spending measure.,true,0
A bipartisan committee released its findings on government spending waste. Read more.,true,0
New bill would require all political ads to include laugh track.,satire/parody,1
Edited video proves the politician made racist remarks at last night's rally. Share this.,manipulated content,5
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
The government doesn't want you to know this about your tax dollars.,misleading content,2
Economy on the brink of collapse says expert (article quotes one minor analyst).,false connection,4
AP Breaking News: Congress votes to abolish all federal holidays starting next year. Share this.,imposter content,3
You won't believe what this leaked document says about the election. Read more.,misleading content,2
Official White House statement: President declares national emergency over social media usage.,imposter content,3
Exposed: The REAL reason behind the latest policy change will shock you.,misleading content,2
President caught in massive scandal (article about routine policy meeting).,false connection,4
BREAKING: The Federal Reserve announced a 0.25 percent interest rate increase today.,true,0
JUST IN: Democracy under threat: dramatic headline for a routine committee hearing update.,false connection,4
Area congressman reportedly shocked to learn his constituents actually read his tweets. Developing story.,satire/parody,1
Exposed: The REAL reason behind the latest policy change will shock you. ,misleading content,2
Historic moment as politician makes unprecedented move (routine procedural vote). ,false connection,4
A bipartisan committee released its findings on government spending waste.,true,0
Millions affected by new law (article about obscure regulatory change).,false connection,4
You won't believe what this leaked document says about the election.,misleading content,2
"BREAKING: According to official reports, unemployment rates fell to 3.5 percent this quarter.",true,0
Man who gets all his news from memes somehow perfectly informed about geopolitics. Developing story.,satire/parody,1
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
BREAKING: Economy on the brink of collapse says expert (article quotes one minor analyst).,false connection,4
Exposed: The REAL reason behind the latest policy change will shock you.,misleading content,2
JUST IN: The president signed an executive order on climate policy during a ceremony at the White House.,true,0
