true_label,pred_label,text,word_count
fake,true,trump peeking door,3
fake,true,justin bieber inadvertently stepped one world greatest geopolitical controversy,9
fake,true,white house deport bieber petition comment,6
fake,true,new zealand government phase single use plastic bag within year time,11
fake,true,election result determined drawing name bowl,6
true,fake,treasury agent attempt arrest al scarface capone tax evasion flees zeppelin st valentine,13
true,fake,hillary ramen clinton,3
true,fake,russian man recall oppressive day communism one could speak freely protest government,12
true,fake,light playing beautifully eric trump gum inaugural ball,8
true,fake,new nfl policy requires player either stand national anthem stay locker room,12
