true_label,pred_label,text,word_count
fake,true,justin bieber inadvertently stepped one world greatest geopolitical controversy,9
fake,true,white house deport bieber petition comment,6
fake,true,president trump hold rally war zone harrisburg pa,8
fake,true,david cameron apologize saying queen purred scottish vote result,9
fake,true,donald trump retweets quote attributed benito mussolini,7
true,fake,treasury agent attempt arrest al scarface capone tax evasion flees zeppelin st valentine,13
true,fake,hillary ramen clinton,3
true,fake,russian man recall oppressive day communism one could speak freely protest government,12
true,fake,light playing beautifully eric trump gum inaugural ball,8
true,fake,young bill clinton practicing saxophone,5
